client_id,target,col1453,col2167,col2174,col2175,col2176,col2177,col2180,col2181,col2182,col2183,col2190,col2221,col2222,col2316,col2317,col2318,col2470,col2663
1,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10000.0,2231015.56666667,179564.0,179564.0,179564.0,545.0,0.2562613816564786
5,0,1,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,5000.0,1420568.84333333,204857.0,95379.0,150118.0,242.0,0.2562613816564786
6,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10500.0,3331398.79,190542.0,190542.0,190542.0,557.0,0.2562613816564786
7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10000.0,10000.0,232846.0,232846.0,232846.0,0.0,0.2586817645046357
8,0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,27000.0,3126870.03666667,172907.0,172907.0,172907.0,256.0,0.2541642972029413
10,0,0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,30000.0,4149667.41,397379.0,397379.0,397379.0,31.0,0.3189938134633118
16,0,0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5000.0,930853.63166667,160165.0,88847.0,124506.0,336.0,0.2588532073038523
17,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20000.0,1262186.8,79600.0,64000.0,71800.0,1972.0,0.2562613816564786
18,0,0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,5000.0,6582672.665,359263.0,210660.0,314548.2,68.0,0.2662850701762395
19,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10000.0,2710006.74666667,138777.0,138777.0,138777.0,364.0,0.2562613816564786
21,0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,10000.0,4012913.11333333,121858.0,121858.0,121858.0,0.0,0.2562613816564786
22,0,1,0.0,9.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,10000.0,1997617.52666667,193677.0,182143.0,188581.0,27.0,0.25820859661998
23,0,1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10000.0,2869821.94333333,179078.0,179078.0,179078.0,130.0,0.2584471777589903
24,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50000.0,6834378.79,169153.0,169153.0,169153.0,433.0,0.2683644078109473
25,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10000.0,2092803.6725,249597.0,196488.0,219071.25,423.0,0.2562613816564786
26,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10000.0,2339464.20666667,192539.0,192539.0,192539.0,412.0,0.2556113676384911
27,0,0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,5000.0,3140760.415,298869.0,82871.0,206298.42857143,340.0,0.2569190620677391
28,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10500.0,2627572.05,183900.0,183900.0,183900.0,688.0,0.2562613816564786
30,0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10000.0,3469118.28333333,139581.0,139581.0,139581.0,275.0,0.2567183659523679
31,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27000.0,5337046.93,277621.0,277621.0,277621.0,728.0,0.2939887692826054
32,0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5000.0,1969255.21166667,156272.0,130077.0,143174.5,489.0,0.2562613816564786
32,0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5000.0,1969255.21166667,156272.0,130077.0,143174.5,608.0,0.2562613816564786
33,0,0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10000.0,2852500.48,212637.0,212637.0,212637.0,13.0,0.2570165748042274
34,0,0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,3209059.59666667,212848.0,212848.0,212848.0,3.0,0.2576983466994116
35,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10000.0,2209939.535,148369.0,148369.0,148369.0,2.0,0.2562613816564786
36,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10000.0,1371352.33333333,105000.0,105000.0,105000.0,940.0,0.2562613816564786
37,0,0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4840659.98666667,227439.0,227439.0,227439.0,150.0,0.2560610222605129
38,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10000.0,3820082.155,220814.0,220814.0,220814.0,528.0,0.2565996261339365
39,0,1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5000.0,2392590.98888889,213048.0,209758.0,211220.22222222,555.0,0.2562613816564786
40,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10500.0,1859578.705,108300.0,108300.0,108300.0,593.0,0.2562613816564786
42,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37000.0,1712140.88,87600.0,87600.0,87600.0,2112.0,0.2562613816564786
43,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10000.0,2729279.0,207313.25,207313.25,207313.25,397.0,0.2574735476686629
44,0,0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2599046.176,339971.0,216855.0,286435.7,254.0,0.2562613816564786
45,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10000.0,4047244.65,145232.0,145232.0,145232.0,407.0,0.2581665753739357
